,DAY,DATE,TIME 11:00am to 1:00pm.
0,Thursday,10-09-2020,SCIENCE
1,Friday,11-09-2020,MARATHI
2,Saturday,12-09-2020,MATH
3,Sunday,13-09-2020,HINDI
4,Monday,14-09-2020,S.S.
5,Tuesday,15-09-2020,ENGLISH
6,Wednesday,16-09-2020,COMPUTER
