,No,PR No,PR Url,PR Status,PR Contributors,Active PR Time,Active time(in Seconds)
395,225,395,https://github.com//HarshCasper/Rotten-Scripts/pull/533,Merged,"['vybhav72954', 'HarshCasper']",2 days 20:43:05.000000000,247385.0
396,226,396,https://github.com//HarshCasper/Rotten-Scripts/pull/532,Merged,"['vybhav72954', 'HarshCasper']",1 days 16:55:14.000000000,147314.0
397,227,397,https://github.com//HarshCasper/Rotten-Scripts/pull/530,Merged,"['vybhav72954', 'HarshCasper']",1 days 03:49:59.000000000,100199.0
398,228,398,https://github.com//HarshCasper/Rotten-Scripts/pull/529,Merged,"['vybhav72954', 'HarshCasper']",1 days 04:06:34.000000000,101194.0
399,229,399,https://github.com//HarshCasper/Rotten-Scripts/pull/528,Merged,"['vybhav72954', 'HarshCasper']",1 days 04:48:46.000000000,103726.0
400,230,400,https://github.com//HarshCasper/Rotten-Scripts/pull/522,Merged,"['vybhav72954', 'HarshCasper']",3 days 13:58:30.000000000,309510.0
401,231,401,https://github.com//HarshCasper/Rotten-Scripts/pull/520,Merged,['HarshCasper'],0 days 00:00:39.000000000,39.0
402,232,402,https://github.com//HarshCasper/Rotten-Scripts/pull/519,Merged,"['vybhav72954', 'HarshCasper']",0 days 01:22:31.000000000,4951.0
404,233,404,https://github.com//HarshCasper/Rotten-Scripts/pull/516,Merged,"['CSY54', 'HarshCasper']",1 days 22:00:16.000000000,165616.0
405,234,405,https://github.com//HarshCasper/Rotten-Scripts/pull/514,Merged,"['vybhav72954', 'HarshCasper']",2 days 14:45:51.000000000,225951.0
406,235,406,https://github.com//HarshCasper/Rotten-Scripts/pull/512,Merged,"['GoswamiTushar', 'HarshCasper']",2 days 16:12:30.000000000,231150.0
407,236,407,https://github.com//HarshCasper/Rotten-Scripts/pull/511,Merged,"['KmrAnish04', 'HarshCasper']",17 days 20:42:30.000000000,1543350.0
408,237,408,https://github.com//HarshCasper/Rotten-Scripts/pull/510,Merged,"['vybhav72954', 'HarshCasper']",3 days 14:41:58.000000000,312118.0
409,238,409,https://github.com//HarshCasper/Rotten-Scripts/pull/509,Merged,"['vybhav72954', 'HarshCasper', 'ImgBotApp']",3 days 20:57:04.000000000,334624.0
410,239,410,https://github.com//HarshCasper/Rotten-Scripts/pull/504,Merged,['HarshCasper'],0 days 00:00:09.000000000,9.0
418,240,418,https://github.com//HarshCasper/Rotten-Scripts/pull/494,Merged,"['vybhav72954', 'seema1711', 'HarshCasper']",1 days 01:59:57.000000000,93597.0
421,241,421,https://github.com//HarshCasper/Rotten-Scripts/pull/491,Merged,"['vybhav72954', 'HarshCasper']",4 days 20:32:16.000000000,419536.0
422,242,422,https://github.com//HarshCasper/Rotten-Scripts/pull/490,Merged,"['vybhav72954', 'HarshCasper']",4 days 21:32:04.000000000,423124.0
429,243,429,https://github.com//HarshCasper/Rotten-Scripts/pull/479,Merged,['HarshCasper'],1 days 10:07:45.000000000,122865.0
431,244,431,https://github.com//HarshCasper/Rotten-Scripts/pull/477,Merged,"['tej5169', 'HarshCasper']",60 days 12:36:28.000000000,5229388.0
433,245,433,https://github.com//HarshCasper/Rotten-Scripts/pull/474,Merged,"['dcorriveau', 'seema1711', 'HarshCasper']",3 days 19:44:58.000000000,330298.0
436,246,436,https://github.com//HarshCasper/Rotten-Scripts/pull/470,Merged,['HarshCasper'],0 days 00:27:12.000000000,1632.0
438,247,438,https://github.com//HarshCasper/Rotten-Scripts/pull/467,Merged,"['vybhav72954', 'HarshCasper']",17 days 23:02:01.000000000,1551721.0
439,248,439,https://github.com//HarshCasper/Rotten-Scripts/pull/464,Merged,"['vybhav72954', 'HarshCasper', 'seema1711']",8 days 16:50:49.000000000,751849.0
440,249,440,https://github.com//HarshCasper/Rotten-Scripts/pull/463,Merged,['HarshCasper'],0 days 00:11:00.000000000,660.0
441,250,441,https://github.com//HarshCasper/Rotten-Scripts/pull/462,Merged,"['DevChoganwala', 'HarshCasper']",8 days 09:44:48.000000000,726288.0
442,251,442,https://github.com//HarshCasper/Rotten-Scripts/pull/460,Merged,"['KhushalPShah', 'HarshCasper']",8 days 21:05:56.000000000,767156.0
443,252,443,https://github.com//HarshCasper/Rotten-Scripts/pull/456,Merged,"['namanshah01', 'HarshCasper']",1 days 19:35:36.000000000,156936.0
445,253,445,https://github.com//HarshCasper/Rotten-Scripts/pull/454,Merged,"['DevChoganwala', 'HarshCasper', 'vybhav72954', 'seema1711']",9 days 23:24:01.000000000,861841.0
446,254,446,https://github.com//HarshCasper/Rotten-Scripts/pull/451,Merged,"['vybhav72954', 'HarshCasper']",10 days 08:01:16.000000000,892876.0
447,255,447,https://github.com//HarshCasper/Rotten-Scripts/pull/450,Merged,"['srimani-programmer', 'HarshCasper', 'seema1711']",10 days 12:46:21.000000000,909981.0
448,256,448,https://github.com//HarshCasper/Rotten-Scripts/pull/447,Merged,"['sohamsshah', 'HarshCasper']",10 days 20:13:01.000000000,936781.0
